code,Название,Бюджет ($),Количество оценок на IMDb,Страна,Сборы в России ($),Время (мин.),Сборы в США ($),Жанр,Слоган,Количество оценок на Кинопоиск,Средняя оценка на Кинопоиск,Режиссер,Возраст,Премьера в мире,Средняя оценка на IMDb,Год производства,Прибыль ($),Средняя оценка,День выхода,Десятилетие
0,Унесенные ветром,3977000.0,294790,США,,222,189523031.0,мелодрама,«The most magnificent picture ever!»,145555,8.375,"['Виктор Флеминг', 'Джордж Кьюкор', 'Сэм Вуд']",12+,1939-12-15,8.1,1939,185546031.0,8.238,Пятница,1930
0,Унесенные ветром,3977000.0,294790,США,,222,189523031.0,история,«The most magnificent picture ever!»,145555,8.375,"['Виктор Флеминг', 'Джордж Кьюкор', 'Сэм Вуд']",12+,1939-12-15,8.1,1939,185546031.0,8.238,Пятница,1930
0,Унесенные ветром,3977000.0,294790,США,,222,189523031.0,драма,«The most magnificent picture ever!»,145555,8.375,"['Виктор Флеминг', 'Джордж Кьюкор', 'Сэм Вуд']",12+,1939-12-15,8.1,1939,185546031.0,8.238,Пятница,1930
0,Унесенные ветром,3977000.0,294790,США,,222,189523031.0,военный,«The most magnificent picture ever!»,145555,8.375,"['Виктор Флеминг', 'Джордж Кьюкор', 'Сэм Вуд']",12+,1939-12-15,8.1,1939,185546031.0,8.238,Пятница,1930
1,Римские каникулы,1500000.0,129480,США,,118,5000000.0,мелодрама,«Romance in romantic Rome!»,104104,8.267,Уильям Уайлер,6+,1953-08-20,8.0,1953,3500000.0,8.133,Четверг,1950
1,Римские каникулы,1500000.0,129480,США,,118,5000000.0,комедия,«Romance in romantic Rome!»,104104,8.267,Уильям Уайлер,6+,1953-08-20,8.0,1953,3500000.0,8.133,Четверг,1950
3,В джазе только девушки,2883848.0,248217,США,,119,25000000.0,мелодрама,«Marilyn Monroe and her bosom companions»,249152,8.457,Билли Уайлдер,12+,1959-03-19,8.2,1959,22116152.0,8.329,Четверг,1950
3,В джазе только девушки,2883848.0,248217,США,,119,25000000.0,комедия,«Marilyn Monroe and her bosom companions»,249152,8.457,Билли Уайлдер,12+,1959-03-19,8.2,1959,22116152.0,8.329,Четверг,1950
3,В джазе только девушки,2883848.0,248217,США,,119,25000000.0,криминал,«Marilyn Monroe and her bosom companions»,249152,8.457,Билли Уайлдер,12+,1959-03-19,8.2,1959,22116152.0,8.329,Четверг,1950
3,В джазе только девушки,2883848.0,248217,США,,119,25000000.0,приключения,«Marilyn Monroe and her bosom companions»,249152,8.457,Билли Уайлдер,12+,1959-03-19,8.2,1959,22116152.0,8.329,Четверг,1950
3,В джазе только девушки,2883848.0,248217,США,,119,25000000.0,музыка,«Marilyn Monroe and her bosom companions»,249152,8.457,Билли Уайлдер,12+,1959-03-19,8.2,1959,22116152.0,8.329,Четверг,1950
