Индекс,Автор,Ссылка,Название,Год,Средний_балл,Проголосовало,Баллы,Описание,Жанр
2,Александр Дюма,https://www.100bestbooks.ru/item_info.php?id=17,Три мушкетера,1844,1.7,6606,11246,"Самое знаменитое из произведений Александра Дюма. Книга, экранизированная бессчетное количество раз!  Лучший авантюрно-приключенческий роман всех времен и народов. Роман о любви и ненависти, о верности и предательстве, об отважных мужчинах и блистательных женщинах, о Франции времен изворотливых кардиналов и романтичных королей. Идет время – однако прекрасный роман Дюма по-прежнему не стареет. Новые и новые поколения читателей и зрителей с замиранием сердца следят за веселыми, опасными и увлекательными приключениями Атоса, Портоса, Арамиса и д'Артаньяна…",Роман
4,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=4460,Двадцать тысяч лье под водой,1869,2.68,3231,8667,Книга рассказывает о кругосветном путешествии в морских глубинах на уникальном подводном корабле Наутилусе исследователя и изобретателя капитана Немо и его товарищей.,Фантастика
5,Александр Пушкин,https://www.100bestbooks.ru/item_info.php?id=5509,Руслан и Людмила,1820,2.24,3816,8581,"Поэма «Руслан и Людмила» была создана в период с 1817 по 1820 год. Это первое крупное произведение Александра Сергеевича Пушкина, поставившее его в ряд крупнейших русских писателей. Сюжет поэмы, ядро которого составляет похищение невесты и поиски её героем, соткан из традиционных ситуаций сказочных и волшебно-рыцарских произведений, частью переиначенных и пародированных. Об историко-литературном значении поэмы великолепно сказал Белинский: «Выход в свет „Руслана и Людмилы“ и возбужденные этою поэмою толки и споры о классицизме и романтизме были эпохою обновления русской литературы».",Поэзия
7,Александр Дюма,https://www.100bestbooks.ru/item_info.php?id=4729,Двадцать лет спустя,1845,3.27,2146,7019,"Блистательный роман Александра Дюма — отца «Двадцать лет спустя» написал вслед за его известными «Тремя мушкетерами». В нем столько же остроумия, занимательности и неожиданных поворотов, как и в первой книге трилогии. Наряду с вымышленными героями в романе действуют подлинные исторические лица.",Роман
8,Александр Дюма,https://www.100bestbooks.ru/item_info.php?id=4764,"Виконт де Бражелон, или Десять лет спустя",1847,3.28,2130,7004,"«Виконт де Бражелон, или Десять лет спустя» (фр. Le Vicomte de Bragelonne ou Dix ans après) — роман французского писателя Александра Дюма, третья часть трилогии романов о трёх мушкетёрах и д’Артаньяне. Описываются события, происходящие через десять лет после событий описанных в книге «Двадцать лет спустя». Была написана в 1847—1850 годах. «Виконт де Бражелон» сам по себе представляет трилогию, каждый из трёх томов по объёму вполне сравним с «Тремя мушкетёрами». Наибольшую известность, благодаря многочисленным экранизациям, получила часть «Человек в железной маске». …Май 1660-го. Начало самостоятельного правления молодого Людовика XIV. Живущий в изгнании инкогнито наследник английского престола Карл встречается со своим кузеном — королем Франции, и просит у него поддержки в восстановлении престола. Могущественный кардинал Мазарини отказывает Людовику в финансировании этого плана. Тогда Карл обращается за помощью к графу де Ла Фер — Атосу, одному из тех, кто доказал преданность его отцу — казненному Карлу I, будучи рядом с ним до последней минуты, стоя у подножия его эшафота. Перед смертью Карл I поведал Атосу, что в подземелье Ньюкаслского замка зарыт миллион золотом — его сыну «на чёрный день»; этих средств как раз хватит на дело, задуманное теперь наследником британской короны. Одновременно с Атосом, о чём тот не догадывается, в Англию отправляется вышедший в отставку лейтенант д’Артаньян. Путая карты друг другу, общими усилиями они помогают Карлу взойти на трон и стать Карлом II. Король осыпает стареющих героев милостями.",Роман
10,"Григорий Белых, Л. Пантелеев",https://www.100bestbooks.ru/item_info.php?id=2315,Республика ШКИД,1926,1.97,3485,6898,"Эта книга была первой для двух молодых авторов. Она была издана в 1927 г. Один из них - Григорий Белых - безвременно погиб. Другой - Л. Пантелеев - стал известным детским писателем. Его книги - ""Часы"", ""Пакет"", ""Честное слово"", ""Лёнька Пантелеев"", ""Рассказы о Кирове"" и многие, многие другие - популярны у нас в стране и переведены на многие языки мира.",Повесть
11,Александр Беляев,https://www.100bestbooks.ru/item_info.php?id=1903,Человек-амфибия,1928,1.76,3763,6634,"Что произойдет, если человек получит возможность жить и на суше, и под водой? Принесет ли это ему счастье, или обречет на мучения? Перед Ихтиандром, человеком-амфибией, стоит жестокая необходимость выбирать: покой и свобода в океане или любовь, сопряженная со множеством опасностей на земле.  В романе «Человек-амфибия» сочетаются научность, занимательность и юмор. Это произведение не только об удивительном Ихтиандре, которого молва окрестила «морским дьяволом», оно также о предательстве и дружбе, о ненависти и любви.",Роман
12,Александр Грин,https://www.100bestbooks.ru/item_info.php?id=540,Алые паруса,1916,1.26,5111,6482,"Александр Грин создал в своих произведениях свой особенный мир. В этом мире веет ветер дальних странствий, его населяют добрые, смелые, веселые люди. А в залитых солнцем гаванях с романтическими названиями — Лисс, Зурбаган, Гель-Гью — прекрасные девушки поджидают своих женихов. В этот мир — чуть приподнятый над нашим, одновременно фантастический и реальный, мы и приглашаем читателей.",Повесть
13,Лев Толстой,https://www.100bestbooks.ru/item_info.php?id=2138,Кавказский пленник,1872,1.87,3327,6226,"В 1851 году старший брат Николай уговорил Льва Толстого ехать на Кавказ, где шла тогда русско-чеченская война. Поначалу Кавказ не оказал на него того «живительного воздействия», на которое он рассчитывал. 11 июня 1851 года Толстой записал в дневнике: «Уже дней пять я живу здесь и одержим уже давно забытой мною ленью. Дневник вовсе бросил. Природа, на которую я больше всего надеялся, имея намерение ехать на Кавказ, не представляет до сих пор ничего завлекательного. Лихость, которая, я думал, развернется во мне здесь, тоже не оказывается».  Тем не менее, в январе 1852 года писатель поступил в артиллеристы и участвовал во многих сражениях. В свободное время он работал над повестью. На Кавказе Толстой продолжил составлять для себя «правила» и «планы» (этим он начал заниматься ещё в Петербурге): «Будь прям, хотя и резок, но откровенен со всеми, но не детски откровенен без необходимости. Воздерживайся от вина и женщин…»  Впрочем, исполнять свои правила Толстому было труднее, чем составлять их. Временами его охватывали сомнения в собственных силах, временами он верил в своё высокое призвание, а временами просто отдавался своим излюбленным увлечениям, из которых одно из первых мест занимала охота. Очень показательна дневниковая запись от 28 августа 1852 года: «Мне 24 года; а я еще ничего не сделал. Я чувствую, что недаром вот уже восемь лет, что я борюсь с сомнением и страстями. Но на что я назначен? Это откроет будущность. Убил трех бекасов». ",Детская литература
14,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=328,Приключения Гекльберри Финна,1884,1.53,3977,6085,"Герой этой повести умен, добр, умеет по-настоящему дружить и знает цену людям. Свободолюбие, самостоятельность и сообразительность сделали Гека Финна одним из самых любимых героев подростков разных стран.",Плутовской роман
