code,name,r,g,b,type
#dc8e40,00YY 34/562 — Dulux Colour Pallete,220,142,64,Весна
#e39b59,00YY 41/475 — Dulux Colour Pallete,227,155,89,Весна
#eb8632,01YY 36/694 — Dulux Colour Pallete,235,134,50,Весна
#ffb16b,02YY 55/518 — Dulux Colour Pallete,255,177,107,Весна
#ea7125,4-я линия Петербургского метро,234,113,37,Весна
#da9954,04YY 39/480 — Dulux Colour Pallete,218,153,84,Весна
#e79430,04YY 39/638 — Dulux Colour Pallete,231,148,48,Весна
#f69924,05YY 42/727 — Dulux Colour Pallete,246,153,36,Весна
#ffaa45,05YY 52/658 — Dulux Colour Pallete,255,170,69,Весна
#f78e38,6-я линия Московского метро,247,142,56,Весна
#ffa61f,06YY 49/797 — Dulux Colour Pallete,255,166,31,Весна
#f8b267,07YY 54/510 — Dulux Colour Pallete,248,178,103,Весна
#fde34f,8-я линия Московского метро,253,227,79,Весна
#dfa86d,09YY 45/402 — Dulux Colour Pallete,223,168,109,Весна
#ffb248,09YY 57/689 — Dulux Colour Pallete,255,178,72,Весна
#c93f38,100 MPH — Colour Smart – P170-7,201,63,56,Весна
#fce177,10A — Royal Horticultural Society Colour Charts Edition V,252,225,119,Весна
#59c194,10GG 44/395 — Dulux Colour Pallete,89,193,148,Весна
#aec95e,10GY 52/541 — Dulux Colour Pallete,174,201,94,Весна
#c25d5c,10YR 21/436 — Dulux Colour Pallete,194,93,92,Весна
#ac8255,10YY 26/321 — Dulux Colour Pallete,172,130,85,Весна
#ca8937,10YY 30/560 — Dulux Colour Pallete,202,137,55,Весна
#d1923f,10YY 35/543 — Dulux Colour Pallete,209,146,63,Весна
#e4993e,10YY 40/608 — Dulux Colour Pallete,228,153,62,Весна
#eaa558,10YY 46/515 — Dulux Colour Pallete,234,165,88,Весна
#ecae66,10YY 50/469 — Dulux Colour Pallete,236,174,102,Весна
#f9d568,11A — Royal Horticultural Society Colour Charts Edition V,249,213,104,Весна
#e69624,11YY 38/694 — Dulux Colour Pallete,230,150,36,Весна
#ccd268,"12-0435 — Pantone Fashion, Home and Interiors",204,210,104,Весна
#f0d34f,"12-0642 — Pantone Fashion, Home and Interiors",240,211,79,Весна
#f0db51,"12-0646 — Pantone Fashion, Home and Interiors",240,219,81,Весна
#f8d777,"12-0727 — Pantone Fashion, Home and Interiors",248,215,119,Весна
#f3ce6c,"12-0736 — Pantone Fashion, Home and Interiors",243,206,108,Весна
#f2d466,"12-0737 — Pantone Fashion, Home and Interiors",242,212,102,Весна
