number_day,map,phone,step_phone
0,2187,3311.857142857143,4967.785714285715
1,3368,4830.285714285714,7245.428571428571
2,3350,4807.142857142857,7210.714285714285
3,4947,6860.428571428572,10290.642857142857
4,2022,3099.714285714286,4649.571428571428
5,3908,5524.571428571428,8286.857142857143
6,1611,2571.285714285714,3856.9285714285716
7,5593,7691.0,11536.5
8,3216,4634.857142857143,6952.285714285715
9,3823,5415.285714285714,8122.928571428571
10,4232,5941.142857142857,8911.714285714286
11,1370,2261.4285714285716,3392.1428571428573
12,4972,6892.571428571428,10338.857142857143
13,1832,2855.4285714285716,4283.142857142857
14,3204,4619.428571428572,6929.142857142857
15,2990,4344.285714285714,6516.428571428571
16,5891,8074.142857142857,12111.214285714286
17,4597,6410.428571428572,9615.642857142857
18,5733,7871.0,11806.5
19,2242,3382.5714285714284,5073.857142857143
20,5754,7898.0,11847.0
21,2584,3822.285714285714,5733.428571428572
22,5131,7097.0,10645.5
23,2765,4055.0,6082.5
24,1762,2765.4285714285716,4148.142857142857
25,2805,4106.428571428572,6159.642857142857
26,3884,5493.714285714286,8240.57142857143
27,3011,4371.285714285714,6556.928571428571
28,5980,8188.571428571428,12282.857142857143
29,3300,4742.857142857143,7114.285714285715
30,3972,5606.857142857143,8410.285714285714
31,4773,6636.714285714286,9955.07142857143
32,5660,7777.142857142857,11665.714285714286
33,3653,5196.714285714286,7795.071428571429
34,5201,7187.0,10780.5
35,2825,4132.142857142857,6198.214285714285
36,2246,3387.714285714286,5081.571428571428
37,3965,5597.857142857143,8396.785714285714
38,4802,6674.0,10011.0
39,3397,4867.571428571428,7301.357142857143
40,4963,6881.0,10321.5
41,4041,5695.571428571428,8543.357142857143
42,4077,5741.857142857143,8612.785714285714
43,1933,2985.285714285714,4477.928571428572
44,4594,6406.571428571428,9609.857142857143
45,4176,5869.142857142857,8803.714285714286
46,5869,8045.857142857143,12068.785714285714
47,4538,6334.571428571428,9501.857142857143
48,3985,5623.571428571428,8435.357142857143
49,5524,7602.285714285714,11403.42857142857
50,4460,6234.285714285714,9351.42857142857
51,5372,7406.857142857143,11110.285714285714
52,2188,3313.142857142857,4969.714285714285
53,4258,5974.571428571428,8961.857142857143
54,4586,6396.285714285714,9594.42857142857
55,1787,2797.5714285714284,4196.357142857143
56,2901,4229.857142857143,6344.785714285715
57,5154,7126.571428571428,10689.857142857143
58,2610,3855.714285714286,5783.571428571428
59,1421,2327.0,3490.5
60,5777,7927.571428571428,11891.357142857143
61,5718,7851.714285714286,11777.57142857143
62,5141,7109.857142857143,10664.785714285714
63,1489,2414.4285714285716,3621.6428571428573
64,4402,6159.714285714286,9239.57142857143
65,1815,2833.5714285714284,4250.357142857143
66,3599,5127.285714285714,7690.928571428571
67,2546,3773.4285714285716,5660.142857142857
68,4205,5906.428571428572,8859.642857142857
69,3229,4651.571428571428,6977.357142857143
