clothes,sex,part,season,color,price
топ,f,1,зима,серый,1305
рубашка,u,1,зима,серый,1969
футболка,u,1,зима,голубой,715
блуза,f,1,зима,красный,767
водолазка,u,1,зима,оливкого-зелёный,1379
кроссовки,u,3,зима,салатовый,4865
кеды,u,3,зима,голубой,2872
туфли с каблуком,f,3,демисезон,красный,2594
сапоги,u,3,лето,синий,3624
сапоги,u,3,демисезон,синий,3624
сапоги,u,3,зима,синий,3624
туфли с каблуком,f,3,лето,красный,2594
туфли без каблука,u,3,лето,горчичный,2868
туфли без каблука,u,3,демисезон,горчичный,2868
сандалии,u,3,лето,красный,2415
босоножки,f,3,лето,белый,4519
ботинки,u,3,лето,коричневый,3347
ботинки,u,3,демисезон,коричневый,3347
ботинки,u,3,зима,коричневый,3347
сланцы,u,3,лето,салатовый,3733
олимпийка,u,2,зима,коричневый,3893
худи,u,2,зима,голубой,1625
свитшот,u,2,зима,салатовый,3851
свитер,u,2,зима,белый,4626
кардиган,u,2,зима,голубой,1654
пиджак,u,2,зима,персиковый,2451
брюки,u,4,зима,серый,4801
джинсы,u,4,зима,белый,1801
шорты,u,4,зима,голубой,4850
юбка,f,4,зима,коричневый,3988
жилет,u,2,зима,голубой,4072
платье,f,4,зима,голубой,4791
комбенизон,u,4,зима,белый,1878
шопер,u,5,зима,оливкого-зелёный,2313
сумка мини,u,5,зима,персиковый,2433
сумка большая,u,5,зима,оливкого-зелёный,2031
рюкзак,u,5,зима,салатовый,2263
очки,u,6,зима,синий,2000
кепка,u,7,зима,синий,1577
панамка,u,7,зима,серый,1279
шапка,u,7,зима,коричневый,2291
берет,u,7,зима,синий,1940
платок,f,7,зима,персиковый,1010
шляпа,u,7,зима,серый,1065
шарф,u,9,зима,красный,1012
платок,u,9,зима,персиковый,1896
палантин,u,9,зима,оливкого-зелёный,1340
перчатки,u,10,зима,синий,900
лонгслив,u,1,зима,чёрный,967
поло,u,1,зима,салатовый,1088
тренч,u,8,лето,синий,14330
пуховик,u,8,зима,голубой,13609
пальто,u,8,демисезон,чёрный,5444
бомбер,u,8,демисезон,голубой,10056
шуба/дубленка,u,8,зима,горчичный,12462
бомбер,u,8,лето,голубой,10056
пальто,u,8,лето,чёрный,5444
тренч,u,8,демисезон,синий,14330
топ,f,1,лето,серый,1305
рубашка,u,1,лето,серый,1969
футболка,u,1,лето,голубой,715
блуза,f,1,лето,красный,767
водолазка,u,1,лето,оливкого-зелёный,1379
кроссовки,u,3,лето,салатовый,4865
кеды,u,3,лето,голубой,2872
топ,f,1,демисезон,серый,1305
рубашка,u,1,демисезон,серый,1969
футболка,u,1,демисезон,голубой,715
блуза,f,1,демисезон,красный,767
водолазка,u,1,демисезон,оливкого-зелёный,1379
кроссовки,u,3,демисезон,салатовый,4865
кеды,u,3,демисезон,голубой,2872
олимпийка,u,2,демисезон,коричневый,3893
худи,u,2,демисезон,голубой,1625
свитшот,u,2,демисезон,салатовый,3851
свитер,u,2,демисезон,белый,4626
кардиган,u,2,демисезон,голубой,1654
пиджак,u,2,демисезон,персиковый,2451
брюки,u,4,демисезон,серый,4801
джинсы,u,4,демисезон,белый,1801
шорты,u,4,демисезон,голубой,4850
юбка,f,4,демисезон,коричневый,3988
жилет,u,2,демисезон,голубой,4072
платье,f,4,демисезон,голубой,4791
комбенизон,u,4,демисезон,белый,1878
шопер,u,5,демисезон,оливкого-зелёный,2313
сумка мини,u,5,демисезон,персиковый,2433
сумка большая,u,5,демисезон,оливкого-зелёный,2031
рюкзак,u,5,демисезон,салатовый,2263
очки,u,6,демисезон,синий,2000
олимпийка,u,2,лето,коричневый,3893
худи,u,2,лето,голубой,1625
свитшот,u,2,лето,салатовый,3851
свитер,u,2,лето,белый,4626
кардиган,u,2,лето,голубой,1654
пиджак,u,2,лето,персиковый,2451
брюки,u,4,лето,серый,4801
джинсы,u,4,лето,белый,1801
шорты,u,4,лето,голубой,4850
юбка,f,4,лето,коричневый,3988
жилет,u,2,лето,голубой,4072
платье,f,4,лето,голубой,4791
комбенизон,u,4,лето,белый,1878
шопер,u,5,лето,оливкого-зелёный,2313
сумка мини,u,5,лето,персиковый,2433
сумка большая,u,5,лето,оливкого-зелёный,2031
рюкзак,u,5,лето,салатовый,2263
очки,u,6,лето,синий,2000
куртка,u,8,зима,фиолетовый,9754
куртка,u,8,демисезон,фиолетовый,9754
куртка,u,8,лето,фиолетовый,9754
жилет,u,8,зима,голубой,11916
жилет,u,8,демисезон,голубой,11916
жилет,u,8,лето,голубой,11916
без верхней утепленной части,u,2,зима,без цвета,0
без верхней утепленной части,u,2,демисезон,без цвета,0
без верхней утепленной части,u,2,лето,без цвета,0
без сумки,u,5,зима,без цвета,0
без сумки,u,5,демисезон,без цвета,0
без сумки,u,5,лето,без цвета,0
без очков,u,6,зима,без цвета,0
без очков,u,6,демисезон,без цвета,0
без очков,u,6,лето,без цвета,0
без головного убора,u,7,зима,без цвета,0
без головного убора,u,7,демисезон,без цвета,0
без головного убора,u,7,лето,без цвета,0
без верхней одежды,u,8,зима,без цвета,0
без верхней одежды,u,8,демисезон,без цвета,0
без верхней одежды,u,8,лето,без цвета,0
без аксессуара на шею,u,9,зима,без цвета,0
без аксессуара на шею,u,9,демисезон,без цвета,0
без аксессуара на шею,u,9,лето,без цвета,0
без перчаток,u,10,зима,без цвета,0
без перчаток,u,10,демисезон,без цвета,0
без перчаток,u,10,лето,без цвета,0
