Код фильма,Название фильма,Рейтинг эмоции,Эмоция,Жанр,Рейтинг фильма,rating
16,Планета Ка-Пэкс,7.2,Странный,Драма,7.4,7.300000000000001
16,Планета Ка-Пэкс,7.2,Странный,Фантастика,7.4,7.300000000000001
16,Планета Ка-Пэкс,6.6,Волнительный,Драма,7.4,7.0
16,Планета Ка-Пэкс,6.6,Волнительный,Фантастика,7.4,7.0
16,Планета Ка-Пэкс,6.4,Добрый,Драма,7.4,6.9
16,Планета Ка-Пэкс,6.4,Добрый,Фантастика,7.4,6.9
20,Искусственный разум,7.9,Умный,Драма,7.2,7.550000000000001
20,Искусственный разум,7.9,Умный,Приключения,7.2,7.550000000000001
20,Искусственный разум,7.9,Умный,Фантастика,7.2,7.550000000000001
20,Искусственный разум,6.8,Трогательный,Драма,7.2,7.0
20,Искусственный разум,6.8,Трогательный,Приключения,7.2,7.0
20,Искусственный разум,6.8,Трогательный,Фантастика,7.2,7.0
20,Искусственный разум,6.6,Вдохновляющий,Драма,7.2,6.9
20,Искусственный разум,6.6,Вдохновляющий,Приключения,7.2,6.9
20,Искусственный разум,6.6,Вдохновляющий,Фантастика,7.2,6.9
36,"Этот безумный, безумный, безумный, безумный мир",7.4,Атмосферный,Комедия,7.5,7.45
36,"Этот безумный, безумный, безумный, безумный мир",7.4,Атмосферный,Боевик,7.5,7.45
36,"Этот безумный, безумный, безумный, безумный мир",7.4,Атмосферный,Криминал,7.5,7.45
36,"Этот безумный, безумный, безумный, безумный мир",7.4,Атмосферный,Приключения,7.5,7.45
36,"Этот безумный, безумный, безумный, безумный мир",6.3,Вдохновляющий,Комедия,7.5,6.9
36,"Этот безумный, безумный, безумный, безумный мир",6.3,Вдохновляющий,Боевик,7.5,6.9
36,"Этот безумный, безумный, безумный, безумный мир",6.3,Вдохновляющий,Криминал,7.5,6.9
36,"Этот безумный, безумный, безумный, безумный мир",6.3,Вдохновляющий,Приключения,7.5,6.9
36,"Этот безумный, безумный, безумный, безумный мир",6.0,Смешной,Комедия,7.5,6.75
36,"Этот безумный, безумный, безумный, безумный мир",6.0,Смешной,Боевик,7.5,6.75
36,"Этот безумный, безумный, безумный, безумный мир",6.0,Смешной,Криминал,7.5,6.75
36,"Этот безумный, безумный, безумный, безумный мир",6.0,Смешной,Приключения,7.5,6.75
38,В поисках галактики,6.7,Добрый,Комедия,7.3,7.0
38,В поисках галактики,6.7,Добрый,Семейный,7.3,7.0
38,В поисках галактики,6.7,Добрый,Приключения,7.3,7.0
38,В поисках галактики,6.7,Добрый,Фантастика,7.3,7.0
38,В поисках галактики,6.0,Глупый,Комедия,7.3,6.65
38,В поисках галактики,6.0,Глупый,Семейный,7.3,6.65
38,В поисках галактики,6.0,Глупый,Приключения,7.3,6.65
38,В поисках галактики,6.0,Глупый,Фантастика,7.3,6.65
38,В поисках галактики,5.4,Странный,Комедия,7.3,6.35
38,В поисках галактики,5.4,Странный,Семейный,7.3,6.35
38,В поисках галактики,5.4,Странный,Приключения,7.3,6.35
38,В поисках галактики,5.4,Странный,Фантастика,7.3,6.35
41,Общество мёртвых поэтов,7.4,Умный,Драма,8.1,7.75
41,Общество мёртвых поэтов,6.6,Атмосферный,Драма,8.1,7.35
41,Общество мёртвых поэтов,6.3,Вдохновляющий,Драма,8.1,7.199999999999999
42,8 с половиной,7.5,Умный,Драма,8.0,7.75
42,8 с половиной,7.5,Умный,Фэнтези,8.0,7.75
42,8 с половиной,6.5,Волнительный,Драма,8.0,7.25
42,8 с половиной,6.5,Волнительный,Фэнтези,8.0,7.25
42,8 с половиной,6.3,Атмосферный,Драма,8.0,7.15
42,8 с половиной,6.3,Атмосферный,Фэнтези,8.0,7.15
45,Назад в будущее III,8.5,Добрый,Комедия,7.4,7.95
45,Назад в будущее III,8.5,Добрый,Приключения,7.4,7.95
45,Назад в будущее III,8.5,Добрый,Фантастика,7.4,7.95
45,Назад в будущее III,6.3,Волнительный,Комедия,7.4,6.85
45,Назад в будущее III,6.3,Волнительный,Приключения,7.4,6.85
45,Назад в будущее III,6.3,Волнительный,Фантастика,7.4,6.85
45,Назад в будущее III,5.6,Вдохновляющий,Комедия,7.4,6.5
45,Назад в будущее III,5.6,Вдохновляющий,Приключения,7.4,6.5
45,Назад в будущее III,5.6,Вдохновляющий,Фантастика,7.4,6.5
49,Bicentennial Man,7.7,Трогательный,Драма,6.9,7.300000000000001
49,Bicentennial Man,7.7,Трогательный,Комедия,6.9,7.300000000000001
49,Bicentennial Man,7.7,Трогательный,Фантастика,6.9,7.300000000000001
49,Bicentennial Man,7.5,Добрый,Драма,6.9,7.2
49,Bicentennial Man,7.5,Добрый,Комедия,6.9,7.2
49,Bicentennial Man,7.5,Добрый,Фантастика,6.9,7.2
49,Bicentennial Man,6.4,Умный,Драма,6.9,6.65
49,Bicentennial Man,6.4,Умный,Комедия,6.9,6.65
